gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,locality,stateProvince,occurrenceStatus,individualCount,decimalLatitude,decimalLongitude,,,,,,,,,,,,,,,,,,,,,,,,,,,
476606198,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","USA: Alabama: Butler: 3 mi NW McKenzie, on US Rte 31",Alabama,PRESENT,1,31.56408,-86.73612,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945456755,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",,Alabama,PRESENT,,31.56423,-87.575378,,,,,,,,,,,,,,,,,,,,,,,,,,,
675589303,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 mi NW Mckinzie, Hwy 31",Alabama,PRESENT,,31.571667,-86.746667,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269063643,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 miles North McKenzie, Hwy 31, Persimmon Creek",Alabama,PRESENT,,31.571743,-86.737967,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269063388,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 miles North McKenzie, Hwy 31, Persimmon Creek",Alabama,PRESENT,,31.571743,-86.737967,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269062976,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 miles North McKenzie, Hwy 31, Persimmon Creek",Alabama,PRESENT,,31.571743,-86.737967,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269061674,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 miles North McKenzie on Hwy 31,Alabama,PRESENT,,31.571743,-86.737967,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269061622,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 miles North McKenzie, on Hwy 31",Alabama,PRESENT,,31.571743,-86.737967,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269061422,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 miles North McKenzie, on Hwy 31",Alabama,PRESENT,,31.571743,-86.737967,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322159503,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","McKenzie, 3 mi (by road) NW of, on U.S. Route 31, just south of its crossing of Persimmon Creek",Alabama,PRESENT,1,31.5728,-86.7367,,,,,,,,,,,,,,,,,,,,,,,,,,,
